iter	Passed	Remaining
928	3351	256
929	3355	252
930	3358	248
931	3362	245
932	3365	241
933	3369	238
934	3372	234
935	3376	230
936	3380	227
937	3383	223
938	3386	220
939	3388	216
940	3391	212
941	3395	209
942	3398	205
943	3402	201
944	3406	198
945	3409	194
946	3413	191
947	3417	187
948	3420	183
949	3424	180
950	3428	176
951	3432	173
952	3435	169
953	3439	165
954	3443	162
955	3447	158
956	3451	155
957	3455	151
958	3457	147
959	3461	144
960	3464	140
961	3468	137
962	3472	133
963	3475	129
964	3479	126
965	3483	122
966	3487	119
967	3491	115
968	3494	111
969	3498	108
970	3502	104
971	3506	101
972	3510	97
973	3514	93
974	3518	90
975	3522	86
976	3525	83
977	3529	79
978	3533	75
979	3536	72
980	3539	68
981	3543	64
982	3546	61
983	3549	57
984	3553	54
985	3556	50
986	3559	46
987	3563	43
988	3566	39
989	3569	36
990	3573	32
991	3576	28
992	3579	25
993	3582	21
994	3586	18
995	3589	14
996	3593	10
997	3596	7
998	3599	3
999	3602	0
